time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
555,-83.6728,-86.2,7.75987e-05,0.58289,11.5944,138.291,0.06,0.969768,0.967322,0.00236661,0.455484,0.00355798,0.999997,2.93658e-08,2.77935e-05,0.979899,1.00565,0.99988,-0.00282604
560,-84.6838,-86.2,7.73586e-05,0.582736,11.5946,138.291,0.03,0.968906,0.96854,0.00217433,0.463483,0.00346996,0.999997,2.88769e-08,2.46508e-05,0.98111,1.00566,0.999883,0.250495
565,-84.3997,-86.2,7.71188e-05,0.58258,11.5949,138.291,0.06,0.969725,0.969815,0.00198923,0.463399,0.00340113,0.999997,2.74687e-08,2.51055e-05,0.982249,1.00568,0.999885,-0.105979
570,-84.933,-86.2,7.68927e-05,0.582421,11.5951,138.291,0.03,0.969933,0.970982,0.00182419,0.466275,0.00338358,0.999997,2.71808e-08,2.38139e-05,0.983318,1.00569,0.999887,0.211407
575,-85.4058,-86.2,7.66608e-05,0.582259,11.5952,138.291,0.05,0.97241,0.972268,0.00166006,0.473416,0.00321054,0.999998,2.45726e-08,2.19895e-05,0.984323,1.0057,0.999889,-0.0803878
580,-85.4122,-86.2,7.64397e-05,0.582095,11.5954,138.291,0.03,0.973588,0.973467,0.00151298,0.472404,0.00321578,0.999998,2.40712e-08,2.21711e-05,0.985267,1.00571,0.999891,0.12821
585,-84.6126,-86.2,7.62317e-05,0.581928,11.5957,138.291,0.06,0.97364,0.974555,0.00138325,0.466183,0.00329278,0.999998,2.47621e-08,2.4346e-05,0.986154,1.00572,0.999893,-0.141258
590,-83.7976,-86.2,7.60498e-05,0.581758,11.5961,138.291,0.08,0.971376,0.975391,0.00127817,0.458852,0.00347053,0.999998,2.75886e-08,2.67139e-05,0.986987,1.00573,0.999894,-0.649836
595,-84.474,-86.2,7.58832e-05,0.581585,11.5963,138.291,0.04,0.969302,0.976104,0.00118691,0.461476,0.00350425,0.999997,2.90411e-08,2.52987e-05,0.987769,1.00573,0.999896,0.204783
600,-82.9661,-86.2,7.57253e-05,0.58141,11.5968,138.291,0.08,0.967491,0.976756,0.00110472,0.450916,0.00362664,0.999997,3.07553e-08,2.98401e-05,0.988503,1.00574,0.999897,-0.533297
605,-82.3376,-86.2,7.56037e-05,0.581232,11.5972,138.29,0.07,0.962234,0.97706,0.00104395,0.441041,0.00392776,0.999997,3.65749e-08,3.32061e-05,0.989191,1.00575,0.999898,-0.0935914
610,-82.0908,-86.2,7.54877e-05,0.581052,11.5977,138.29,0.07,0.958826,0.977348,0.000987945,0.440894,0.00396287,0.999997,3.82486e-08,3.37572e-05,0.989837,1.00575,0.999899,-0.0598131
615,-80.9405,-86.2,7.53843e-05,0.580871,11.5982,138.29,0.08,0.955219,0.977534,0.000939441,0.432893,0.00409394,0.999996,4.0989e-08,3.84576e-05,0.990444,1.00576,0.9999,-0.25967
620,-77.2545,-86.2,7.53257e-05,0.580686,11.5992,138.289,0.13,0.946171,0.977257,0.000908323,0.406726,0.00463889,0.999995,5.35495e-08,5.73266e-05,0.991011,1.00576,0.9999,-3.13954
625,22.4036,-86.2,0.000459948,0.479591,11.6104,138.288,0.94,2.37342e-06,0.0141624,0.0655747,0.147945,0.00794784,0.660668,0.373089,0.975893,0.977205,0.830336,0.762034,2.3379
